ID,VIDEO,LABEL
1,D0001N.mp4,địa chỉ
2,D0001T.mp4,địa chỉ
3,D0001B.mp4,địa chỉ
4,D0002.mp4,tỉnh
5,D0004.mp4,nhân viên
6,D0003.mp4,tiếp tân
7,D0005B.mp4,Miến Điện (nước Mi-an-ma)
8,D0006.mp4,Ma Cao
9,D0007.mp4,Do Thái
10,D0008.mp4,Ả Rập (nước Ả Rập)
11,D0009.mp4,phương Tây
12,D0010.mp4,phương Đông
13,D0011.mp4,Đu Bai (nước Đu Bai)
14,D0012.mp4,Albania (nước Albania)
15,D0014.mp4,nhập khẩu
16,D0015.mp4,Tuy Hoà
17,D0016.mp4,Quy Nhơn
18,D0017.mp4,hấp dẫn
19,D0018.mp4,nổi da gà
20,D0019B.mp4,ghen tị
21,D0019N.mp4,ghen tị
22,D0019T.mp4,ghen tị
23,D0020B.mp4,lung tung
24,D0020N.mp4,lung tung
25,D0022.mp4,cười nhếch mép
26,D0020T.mp4,lung tung
27,D0023.mp4,cười vỡ bụng
28,D0024N.mp4,tham ăn
29,D0024B.mp4,tham ăn
30,D0024T.mp4,tham ăn
31,D0028.mp4,đứng đầu (hàng đầu)
32,D0029B.mp4,thói quen
33,D0029N.mp4,thói quen
34,D0029T.mp4,thói quen
35,D0030.mp4,khuyến khích
36,D0031B.mp4,không nghe lời
37,D0031N.mp4,không nghe lời
38,D0031T.mp4,không nghe lời
39,D0032.mp4,ai cho
40,D0033B.mp4,không cho
41,D0033T.mp4,không cho
42,D0034.mp4,không cần
43,D0033N.mp4,không cho
44,D0035B.mp4,không nên
45,D0035N.mp4,không nên
46,D0035T.mp4,không nên
47,D0036.mp4,bực mình
48,D0038.mp4,mù chữ
49,D0039.mp4,vô tình
50,D0040B.mp4,Tết hàn thực
51,D0040N.mp4,Tết hàn thực
52,D0040T.mp4,Tết hàn thực
53,D0041.mp4,giỗ
54,D0042B.mp4,ngày Quốc tế phụ nữ 8/3
55,D0042N.mp4,ngày Quốc tế phụ nữ 8/3
56,D0042T.mp4,ngày Quốc tế phụ nữ 8/3
57,D0043B.mp4,ngày giải phóng thủ đô 10/10
