label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
0,6,0,0,0,6,14,vslgh,0
0 (số không),1,1,1,0,0,0,qipedc,0 (số không)
1,7,1,1,0,6,42,qipedc+vslgh,1
1 000 000 (một triệu),3,3,3,0,0,0,qipedc,1 000 000 (một triệu)
1 000 000 000 (một tỉ),2,2,3,0,0,0,qipedc,1 000 000 000 (một tỉ)
1 ngày,6,0,0,0,6,14,vslgh,1-NGÀY
10,2,1,1,1,0,0,qipedc+hcmue,10
10 000 (mười nghìn),3,3,3,0,0,0,qipedc,10 000 (mười nghìn)
100,1,1,1,0,0,0,qipedc,100
1000 (một nghìn),1,1,1,0,0,0,qipedc,1000 (một nghìn)
11,2,2,3,0,0,0,qipedc,11
1100000,1,0,0,1,0,0,hcmue,1100000
12,2,2,3,0,0,0,qipedc,12
120,6,0,0,0,6,14,vslgh,120
2,7,1,1,0,6,70,qipedc+vslgh,2
2 < 5 (toán học),1,1,1,0,0,0,qipedc,2 < 5 (Toán học)
2 < 6 (toán học),1,1,1,0,0,0,qipedc,2 < 6 (Toán học)
22,6,0,0,0,6,14,vslgh,22
23,2,2,3,0,0,0,qipedc,23
3,7,1,1,0,6,14,qipedc+vslgh,3
3 ngày,6,0,0,0,6,14,vslgh,3-NGÀY
33,1,1,2,0,0,0,qipedc,33
4,7,1,1,0,6,14,qipedc+vslgh,4
40,1,1,1,0,0,0,qipedc,40
5,8,1,1,1,6,14,qipedc+hcmue+vslgh,5
5 > 3 (toán học),1,1,1,0,0,0,qipedc,5 > 3 (Toán học)
5000 (năm nghìn),2,2,2,0,0,0,qipedc,5000 (năm nghìn)
55,6,0,0,0,6,14,vslgh,55
6,2,2,3,0,0,0,qipedc,6
60,6,0,0,0,6,14,vslgh,60
7,1,1,1,0,0,0,qipedc,7
70,6,0,0,0,6,14,vslgh,70
7up,1,1,1,0,0,0,qipedc,7up
8,1,1,1,0,0,0,qipedc,8
80,1,1,1,0,0,0,qipedc,80
9,7,1,1,0,6,14,qipedc+vslgh,9
90,1,1,1,0,0,0,qipedc,90
a,2,1,1,1,0,0,qipedc+hcmue,a
ai,2,2,3,0,0,0,qipedc,ai
ai bảo,1,1,1,0,0,0,qipedc,ai bảo
ai cho,1,1,1,0,0,0,qipedc,ai cho
albania (nước albania),1,1,1,0,0,0,qipedc,Albania (nước Albania)
amidan,6,0,0,0,6,14,vslgh,AMIDAN
an giang,1,1,1,0,0,0,qipedc,An Giang
an ninh,2,1,1,1,0,0,qipedc+hcmue,an ninh
an toàn,1,0,0,1,0,0,hcmue,an toàn
anh (nước anh),2,2,3,0,0,0,qipedc,Anh (nước Anh)
anh chị,1,1,1,0,0,0,qipedc,anh chị
anh chị em,1,1,1,0,0,0,qipedc,anh chị em
anh cả,2,0,0,2,0,0,hcmue,anh cả
anh dũng,2,2,3,0,0,0,qipedc,anh dũng
anh em,2,2,3,0,0,0,qipedc,anh em
