file_name,gloss,dialect,num_frames,recording_group,group_size,min_diff_to_group
D0529.mp4,0 (số không),-,81,RG00001,1,
D0530.mp4,1,-,124,RG00002,1,
D0551B.mp4,1 000 000 (một triệu),B,75,RG00003,1,
D0551N.mp4,1 000 000 (một triệu),N,59,RG00004,1,
D0551T.mp4,1 000 000 (một triệu),T,71,RG00005,1,
D0552B.mp4,1 000 000 000 (một tỉ),B,90,RG00006,2,2.41
D0552T.mp4,1 000 000 000 (một tỉ),T,89,RG00006,2,2.41
D0552N.mp4,1 000 000 000 (một tỉ),N,74,RG00007,1,
D0539.mp4,10,-,85,RG00008,1,
D0550B.mp4,10 000 (mười nghìn),B,72,RG00009,1,
D0550N.mp4,10 000 (mười nghìn),N,85,RG00010,1,
D0550T.mp4,10 000 (mười nghìn),T,81,RG00011,1,
D0547.mp4,100,-,81,RG00012,1,
D0548N.mp4,1000 (một nghìn),N,151,RG00013,1,
D0540B.mp4,11,B,121,RG00014,1,
D0540N.mp4,11,N,213,RG00015,2,0.309
D0540T.mp4,11,T,213,RG00015,2,0.309
D0541B.mp4,12,B,99,RG00016,1,
D0541N.mp4,12,N,184,RG00017,2,0.302
D0541T.mp4,12,T,184,RG00017,2,0.302
D0531.mp4,2,-,115,RG00018,1,
D0299.mp4,2 < 5 (Toán học),-,158,RG00019,1,
D0181.mp4,2 < 6 (Toán học),-,129,RG00020,1,
D0542B.mp4,23,B,70,RG00021,1,
D0542N.mp4,23,N,140,RG00022,2,0.3
D0542T.mp4,23,T,140,RG00022,2,0.3
D0532.mp4,3,-,108,RG00023,1,
D0543N.mp4,33,N,216,RG00024,2,2.738
D0543T.mp4,33,T,219,RG00024,2,2.738
D0533.mp4,4,-,112,RG00025,1,
D0544.mp4,40,-,76,RG00026,1,
D0534.mp4,5,-,112,RG00027,1,
D0180.mp4,5 > 3 (Toán học),-,136,RG00028,1,
D0549B.mp4,5000 (năm nghìn),B,66,RG00029,1,
D0549T.mp4,5000 (năm nghìn),T,95,RG00030,1,
D0535B.mp4,6,B,279,RG00031,1,
D0535N.mp4,6,N,101,RG00032,2,0.279
D0535T.mp4,6,T,101,RG00032,2,0.279
D0536.mp4,7,-,105,RG00033,1,
D0408.mp4,7up,-,112,RG00034,1,
D0537.mp4,8,-,121,RG00035,1,
D0545.mp4,80,-,129,RG00036,1,
D0538.mp4,9,-,113,RG00037,1,
D0546N.mp4,90,N,81,RG00038,1,
D0012.mp4,Albania (nước Albania),-,145,RG00039,1,
W00006.mp4,An Giang,-,123,RG00040,1,
W00009B.mp4,Anh (nước Anh),B,106,RG00041,1,
W00009N.mp4,Anh (nước Anh),N,117,RG00042,2,0.25
W00009T.mp4,Anh (nước Anh),T,117,RG00042,2,0.25
W00065.mp4,Ba chân bốn cẳng,-,149,RG00043,1,
W00355B.mp4,Bra-xin (nước Bra-xin),B,125,RG00044,1,
W00355N.mp4,Bra-xin (nước Bra-xin),N,129,RG00045,2,0.249
