video_id,file_name,source,gloss_raw,gloss_normalized,dialect,signer_id,recording_group,width,height,npz_path,split
qipedc_D0001B,D0001B.mp4,qipedc,địa chỉ,địa chỉ,B,,RG03867,1280,720,qipedc_kps/D0001B.npz,train
qipedc_D0005B,D0005B.mp4,qipedc,Miến Điện (nước Mi-an-ma),miến điện (nước mi an ma),B,,RG00110,1280,720,qipedc_kps/D0005B.npz,train
qipedc_D0019N,D0019N.mp4,qipedc,ghen tị,ghen tị,N,,RG01255,1280,720,qipedc_kps/D0019N.npz,train
qipedc_D0019T,D0019T.mp4,qipedc,ghen tị,ghen tị,T,,RG01255,1280,720,qipedc_kps/D0019T.npz,train
qipedc_D0020T,D0020T.mp4,qipedc,lung tung,lung tung,T,,RG01794,1280,720,qipedc_kps/D0020T.npz,train
qipedc_D0024N,D0024N.mp4,qipedc,tham ăn,tham ăn,N,,RG02850,1280,720,qipedc_kps/D0024N.npz,train
qipedc_D0024T,D0024T.mp4,qipedc,tham ăn,tham ăn,T,,RG02850,1280,720,qipedc_kps/D0024T.npz,train
qipedc_D0029N,D0029N.mp4,qipedc,thói quen,thói quen,N,,RG02934,1280,720,qipedc_kps/D0029N.npz,train
qipedc_D0029T,D0029T.mp4,qipedc,thói quen,thói quen,T,,RG02934,1280,720,qipedc_kps/D0029T.npz,train
qipedc_D0031N,D0031N.mp4,qipedc,không nghe lời,không nghe lời,N,,RG01671,1280,720,qipedc_kps/D0031N.npz,train
qipedc_D0031T,D0031T.mp4,qipedc,không nghe lời,không nghe lời,T,,RG01671,1280,720,qipedc_kps/D0031T.npz,train
qipedc_D0033B,D0033B.mp4,qipedc,không cho,không cho,B,,RG01656,1280,720,qipedc_kps/D0033B.npz,train
qipedc_D0034,D0034.mp4,qipedc,không cần,không cần,Other,,RG01660,1280,720,qipedc_kps/D0034.npz,train
qipedc_D0035T,D0035T.mp4,qipedc,không nên,không nên,T,,RG01675,1280,720,qipedc_kps/D0035T.npz,train
qipedc_D0040B,D0040B.mp4,qipedc,Tết hàn thực,tết hàn thực,B,,RG00165,1280,720,qipedc_kps/D0040B.npz,train
qipedc_D0042T,D0042T.mp4,qipedc,ngày Quốc tế phụ nữ 8/3,ngày quốc tế phụ nữ 8/3,T,,RG02174,1280,720,qipedc_kps/D0042T.npz,train
qipedc_D0043B,D0043B.mp4,qipedc,ngày giải phóng thủ đô 10/10,ngày giải phóng thủ đô 10/10,B,,RG02182,1280,720,qipedc_kps/D0043B.npz,train
qipedc_D0043T,D0043T.mp4,qipedc,ngày giải phóng thủ đô 10/10,ngày giải phóng thủ đô 10/10,T,,RG02182,1280,720,qipedc_kps/D0043T.npz,train
qipedc_D0044B,D0044B.mp4,qipedc,ngày Giải phóng miền Nam 30/4,ngày giải phóng miền nam 30/4,B,,RG02154,1280,720,qipedc_kps/D0044B.npz,train
qipedc_D0044T,D0044T.mp4,qipedc,ngày Giải phóng miền Nam 30/4,ngày giải phóng miền nam 30/4,T,,RG02154,1280,720,qipedc_kps/D0044T.npz,train
qipedc_D0045N,D0045N.mp4,qipedc,ngày Người khuyết tật Việt Nam 18/4,ngày người khuyết tật việt nam 18/4,N,,RG02162,1280,720,qipedc_kps/D0045N.npz,train
qipedc_D0046B,D0046B.mp4,qipedc,ngày Người khuyết tật Thế giới 3/12,ngày người khuyết tật thế giới 3/12,B,,RG02158,1280,720,qipedc_kps/D0046B.npz,train
qipedc_D0048B,D0048B.mp4,qipedc,lễ Halloween 31/10,lễ halloween 31/10,B,,RG01876,1280,720,qipedc_kps/D0048B.npz,train
qipedc_D0048T,D0048T.mp4,qipedc,lễ Halloween 31/10,lễ halloween 31/10,T,,RG01876,1280,720,qipedc_kps/D0048T.npz,train
qipedc_D0049N,D0049N.mp4,qipedc,ngày Phụ nữ Việt Nam 20/10,ngày phụ nữ việt nam 20/10,N,,RG02167,1280,720,qipedc_kps/D0049N.npz,train
qipedc_D0050B,D0050B.mp4,qipedc,ngày thương bình liệt sĩ 27/7,ngày thương bình liệt sĩ 27/7,B,,RG02198,1280,720,qipedc_kps/D0050B.npz,train
qipedc_D0050T,D0050T.mp4,qipedc,ngày thương bình liệt sĩ 27/7,ngày thương bình liệt sĩ 27/7,T,,RG02198,1280,720,qipedc_kps/D0050T.npz,train
qipedc_D0051N,D0051N.mp4,qipedc,ngày giỗ tổ Hùng Vương (âm lịch 10/3),ngày giỗ tổ hùng vương (âm lịch 10/3),N,,RG02185,1280,720,qipedc_kps/D0051N.npz,train
qipedc_D0052N,D0052N.mp4,qipedc,ngày Ngôn ngữ kí hiệu Quốc tế 23/9,ngày ngôn ngữ kí hiệu quốc tế 23/9,N,,RG02157,1280,720,qipedc_kps/D0052N.npz,train
