epoch,stage,train_loss,val_loss,val_wer,substitutions,deletions,insertions,sub_rate,del_rate,ins_rate,learning_rate_head,learning_rate_backbone,epoch_time_sec,peak_gpu_memory_mb
1,1,5.3758,3.8644,73.3,316,557,0,26.53,46.77,0.0,0.0009757729755661011,0.0,39.1,670.23
2,1,3.458,3.5201,71.12,440,402,5,36.94,33.75,0.42,0.000905463412215599,0.0,36.74,670.24
3,1,2.8451,2.8274,65.16,437,333,6,36.69,27.96,0.5,0.0007959536998847742,0.0,37.37,670.18
4,1,2.3033,2.5848,64.48,487,257,24,40.89,21.58,2.02,0.000657963412215599,0.0,37.28,670.28
5,1,1.9086,2.3932,60.12,456,247,13,38.29,20.74,1.09,0.000505,0.0,36.78,670.2
6,1,1.5648,2.3913,58.61,415,272,11,34.84,22.84,0.92,0.0003520365877844011,0.0,36.11,670.13
7,1,1.3293,2.1233,55.25,401,247,10,33.67,20.74,0.84,0.00021404630011522585,0.0,36.14,671.79
8,1,1.1425,2.0771,53.65,416,204,19,34.93,17.13,1.6,0.00010453658778440107,0.0,36.37,670.05
9,1,1.0381,2.0754,53.4,402,220,14,33.75,18.47,1.18,3.4227024433899005e-05,0.0,44.18,670.09
10,1,0.9657,2.0336,52.98,396,219,16,33.25,18.39,1.34,1e-05,0.0,36.87,670.28
11,2,1.1255,1.9773,51.89,405,188,25,34.01,15.79,2.1,0.0004986332128943842,9.972883382072954e-05,52.19,1963.44
12,2,0.9635,1.9609,51.55,396,197,21,33.25,16.54,1.76,0.0004945478263830845,9.891830623632339e-05,50.88,1962.82
13,2,0.8384,1.9958,49.37,375,195,18,31.49,16.37,1.51,0.0004877886008156408,9.757729755661011e-05,51.26,1964.46
14,2,0.7367,1.5997,42.15,339,146,17,28.46,12.26,1.43,0.00047842959168182885,9.572050015330873e-05,52.24,1962.8
15,2,0.6606,1.5813,41.9,341,132,26,28.63,11.08,2.18,0.0004665733382442175,9.336825748732972e-05,51.95,1962.92
16,2,0.571,1.6233,40.81,316,150,20,26.53,12.59,1.68,0.0004523497400965494,9.05463412215599e-05,51.18,1963.14
17,2,0.5051,1.7082,41.73,312,163,22,26.2,13.69,1.85,0.0004359146339566099,8.728566886113101e-05,51.07,1962.72
18,2,0.4596,1.5976,40.55,331,123,29,27.79,10.33,2.43,0.00041744808628653516,8.362196501476347e-05,51.96,1962.68
19,2,0.3934,1.5795,40.05,319,137,21,26.78,11.5,1.76,0.00039715242044697206,7.959536998847741e-05,52.81,1963.45
20,2,0.3532,1.586,39.8,306,146,22,25.69,12.26,1.85,0.00037525000000000004,7.524999999999999e-05,52.07,1962.85
21,2,0.3189,1.6741,40.55,312,153,18,26.2,12.85,1.51,0.00035198079244741227,7.06334638322521e-05,51.22,1963.7
22,2,0.2863,1.4492,35.77,273,134,19,22.92,11.25,1.6,0.00032759974009654945,6.579634122155988e-05,51.43,1964.34
23,2,0.2677,1.5558,38.12,298,132,24,25.02,11.08,2.02,0.000302373966859031,6.079162869547907e-05,51.92,1963.4
24,2,0.2269,1.4913,34.84,275,118,22,23.09,9.91,1.85,0.0002765798515852796,5.567415893174884e-05,52.31,1963.07
25,2,0.2052,1.4572,34.51,255,135,21,21.41,11.34,1.76,0.0002505000000000001,5.05e-05,80.55,1962.76
26,2,0.1938,1.4471,33.42,248,133,17,20.82,11.17,1.43,0.00022442014841472053,4.532584106825115e-05,70.11,1962.71
27,2,0.1664,1.5327,35.52,267,136,20,22.42,11.42,1.68,0.00019862603314096906,4.0208371304520894e-05,51.76,1963.4
28,2,0.1507,1.4749,34.09,263,128,15,22.08,10.75,1.26,0.00017340025990345066,3.520365877844009e-05,51.67,1962.76
29,2,0.1433,1.4204,33.08,249,127,18,20.91,10.66,1.51,0.0001490192075525879,3.0366536167747885e-05,50.67,1963.5
30,2,0.1351,1.5902,35.68,266,140,19,22.33,11.75,1.6,0.0001257500000000001,2.5750000000000006e-05,51.19,1962.58
31,2,0.1134,1.3103,30.48,231,115,17,19.4,9.66,1.43,0.00010384757955302802,2.1404630011522583e-05,51.78,1962.77
32,2,0.1219,1.4486,33.42,251,128,19,21.07,10.75,1.6,8.355191371346498e-05,1.7378034985236532e-05,52.04,1962.77
33,2,0.11,1.4998,33.84,247,138,18,20.74,11.59,1.51,6.50853660433902e-05,1.371433113886899e-05,51.25,1962.69
34,2,0.1017,1.3512,31.65,245,116,16,20.57,9.74,1.34,4.8650259903450666e-05,1.0453658778440107e-05,72.58,1963.7
35,2,0.0924,1.3778,31.57,241,117,18,20.24,9.82,1.51,3.442666175578256e-05,7.631742512670284e-06,52.68,1963.77
36,2,0.0944,1.4926,33.59,255,129,16,21.41,10.83,1.34,2.257040831817107e-05,5.279499846691251e-06,52.67,1962.82
37,2,0.0875,1.5185,34.17,261,129,17,21.91,10.83,1.43,1.32113991843592e-05,3.4227024433899e-06,51.22,1963.7
38,2,0.0847,1.386,32.41,247,122,17,20.74,10.24,1.43,6.452173616915483e-06,2.0816937636766186e-06,51.66,1963.1
39,2,0.0856,1.4403,33.42,255,126,17,21.41,10.58,1.43,2.366787105615787e-06,1.2711661792704665e-06,52.12,1963.21
40,2,0.0862,1.4678,33.59,260,124,16,21.83,10.41,1.34,1e-06,1e-06,73.07,1962.55
