gloss,video_count,sample_videos,dialects_represented,avg_frames,avg_fps
thương yêu,6,W03373B.mp4;W03373N.mp4;W03373T.mp4;W03450B.mp4;W03450N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),110.7,30.0
thành lập,4,W03175.mp4;W03175B.mp4;W03175N.mp4;W03175T.mp4,B (Miền Bắc / North);N (Miền Nam / South);Neutral / Unspecified;T (Miền Trung / Central),112.8,30.0
đặc biệt,4,W01122.mp4;W01122B.mp4;W01122N.mp4;W01122T.mp4,B (Miền Bắc / North);N (Miền Nam / South);Neutral / Unspecified;T (Miền Trung / Central),139.8,30.0
thường xuyên,4,D0156.mp4;D0156B.mp4;D0156T.mp4;D0156N.mp4,B (Miền Bắc / North);N (Miền Nam / South);Neutral / Unspecified;T (Miền Trung / Central),137.8,30.0
môn kĩ thuật,4,W02243.mp4;W02243B.mp4;W02243N.mp4;W02243T.mp4,B (Miền Bắc / North);N (Miền Nam / South);Neutral / Unspecified;T (Miền Trung / Central),106.2,30.0
tưởng tượng,4,W03732.mp4;W03732N.mp4;W03732T.mp4;W03732B.mp4,B (Miền Bắc / North);N (Miền Nam / South);Neutral / Unspecified;T (Miền Trung / Central),112.2,28.5
chăm sóc sức khỏe,3,W00508B.mp4;W00508N.mp4;W00508T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),154.3,30.0
chăn (cái chăn),3,W00509B.mp4;W00509T.mp4;W00509N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),116.7,30.0
chăn nuôi,3,W00510B.mp4;W00510N.mp4;W00510T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),114.7,30.0
đèn báo giao thông,3,W01154B.mp4;W01154N.mp4;W01154T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),103.0,30.0
đèn pin,3,W01159N.mp4;W01159T.mp4;W01159B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),147.7,30.0
hoặc,3,D0188N.mp4;D0188T.mp4;D0188B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),80.7,30.0
ưu tiên,3,W03758B.mp4;W03758T.mp4;W03758N.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),133.3,30.0
đèn vàng,3,W01161B.mp4;W01161N.mp4;W01161T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),113.0,30.0
kẹo,3,W01743B.mp4;W01743N.mp4;W01743T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),74.7,26.0
cộng (toán học),3,W00857B.mp4;W00857N.mp4;W00857T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),80.0,30.0
không đẹp,3,D0129B.mp4;D0129N.mp4;D0129T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),93.3,30.0
dấu sắc,3,D0525N.mp4;D0525T.mp4;D0525B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),127.0,30.0
chả cá,3,W00484B.mp4;W00484N.mp4;W00484T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),149.0,30.0
chảo,3,W00493N.mp4;W00493T.mp4;W00493B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),269.7,30.0
lung tung,3,D0020B.mp4;D0020N.mp4;D0020T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),159.3,30.0
mùa hè,3,W02270B.mp4;W02270N.mp4;W02270T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.7,30.0
câu thơ,3,W00444B.mp4;W00444N.mp4;W00444T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),103.0,30.0
cột điện,3,W00863B.mp4;W00863N.mp4;W00863T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),94.7,30.0
huyện,3,W01721B.mp4;W01721N.mp4;W01721T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),116.7,30.0
mexico (nước mexico),3,W02200B.mp4;W02200N.mp4;W02200T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),96.0,30.0
đèn xanh,3,W01162N.mp4;W01162T.mp4;W01162B.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),120.0,30.0
6,3,D0535B.mp4;D0535N.mp4;D0535T.mp4,B (Miền Bắc / North);N (Miền Nam / South);T (Miền Trung / Central),160.3,30.0
