video_id,file_name,file_path,file_size_mb,gloss_raw,gloss_normalized,possible_region_or_dialect,possible_signer_id,num_frames,fps,width,height,fast_md5,status
1,D0001N.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0001N.mp4,0.568,địa chỉ,địa chỉ,N (Miền Nam / South),unknown,133,29.97,1280,720,4587e36aca2e216f58a4c1a2f8222719,VALID
2,D0001T.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0001T.mp4,0.558,địa chỉ,địa chỉ,T (Miền Trung / Central),unknown,133,29.97,1280,720,ce2d83e29d8e003686a4e3a7cd3a22f2,VALID
3,D0001B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0001B.mp4,0.655,địa chỉ,địa chỉ,B (Miền Bắc / North),unknown,130,29.97,1280,720,609b66454872d9ee01341e9e95b6cbfd,VALID
4,D0002.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0002.mp4,0.957,tỉnh,tỉnh,Neutral / Unspecified,unknown,147,23.98,1280,720,4577aeccac5629c12810627af3c0e2c3,VALID
5,D0004.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0004.mp4,0.647,nhân viên,nhân viên,Neutral / Unspecified,unknown,125,29.97,1280,720,7e242f16af9ba21eb4d5bf79672a27ac,VALID
6,D0003.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0003.mp4,0.534,tiếp tân,tiếp tân,Neutral / Unspecified,unknown,125,29.97,1280,720,a17c2cb7c70121eb1abdcfd73b7fae3b,VALID
7,D0005B.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0005B.mp4,0.835,Miến Điện (nước Mi-an-ma),miến điện (nước mi-an-ma),B (Miền Bắc / North),unknown,184,29.97,1280,720,3cb27b90291c542c17188bf16d5f861b,VALID
8,D0006.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0006.mp4,0.55,Ma Cao,ma cao,Neutral / Unspecified,unknown,115,29.97,1280,720,e93e1236b7a1e5e1be8ccdff0645085b,VALID
9,D0007.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0007.mp4,0.745,Do Thái,do thái,Neutral / Unspecified,unknown,150,29.97,1280,720,155ea01efda890a89d0e1138ddca9479,VALID
10,D0008.mp4,C:\Users\Admin\Python Advanced\Deep Learning - CV\Project\data\Dataset\Videos\D0008.mp4,0.438,Ả Rập (nước Ả Rập),ả rập (nước ả rập),Neutral / Unspecified,unknown,99,29.97,1280,720,66e95486ccded1f54abc2c7261a3e97b,VALID
